kepid,kepoi_name,kepler_name,koi_disposition,koi_prad,,,,,,,,,,,,,,,,,,,,,,,,
5966322,K00303.01,Kepler-517 b,CONFIRMED,2.78,,,,,,,,,,,,,,,,,,,,,,,,
6029239,K00304.01,Kepler-518 b,CONFIRMED,2.14,,,,,,,,,,,,,,,,,,,,,,,,
12106929,K00359.01,,FALSE POSITIVE,1.84,,,,,,,,,,,,,,,,,,,,,,,,
12107021,K00360.01,,FALSE POSITIVE,1.47,,,,,,,,,,,,,,,,,,,,,,,,
8248939,K00061.01,,FALSE POSITIVE,24.87,,,,,,,,,,,,,,,,,,,,,,,,
12404954,K00361.01,Kepler-537 b,CONFIRMED,1.41,,,,,,,,,,,,,,,,,,,,,,,,
1571511,K00362.01,,FALSE POSITIVE,14.93,,,,,,,,,,,,,,,,,,,,,,,,
2438070,K00363.01,,FALSE POSITIVE,38.29,,,,,,,,,,,,,,,,,,,,,,,,
3747262,K03005.01,,FALSE POSITIVE,1.65,,,,,,,,,,,,,,,,,,,,,,,,
10190075,K03007.01,,CANDIDATE,1.47,,,,,,,,,,,,,,,,,,,,,,,,
9070666,K03008.01,Kepler-1408 b,CONFIRMED,1.12,,,,,,,,,,,,,,,,,,,,,,,,
3642335,K03010.01,Kepler-1410 b,CONFIRMED,1.39,,,,,,,,,,,,,,,,,,,,,,,,
3328052,K03011.01,,FALSE POSITIVE,1.66,,,,,,,,,,,,,,,,,,,,,,,,
10749059,K03086.01,,CANDIDATE,3,,,,,,,,,,,,,,,,,,,,,,,,
9119568,K03087.01,,FALSE POSITIVE,0.68,,,,,,,,,,,,,,,,,,,,,,,,
9119568,K03087.02,,FALSE POSITIVE,0.46,,,,,,,,,,,,,,,,,,,,,,,,
9020114,K03088.01,Kepler-1901 b,CONFIRMED,1.16,,,,,,,,,,,,,,,,,,,,,,,,
6196457,K00285.01,Kepler-92 b,CONFIRMED,3.63,,,,,,,,,,,,,,,,,,,,,,,,
7668416,K03089.01,,CANDIDATE,0.88,,,,,,,,,,,,,,,,,,,,,,,,
6029239,K00304.02,,CANDIDATE,0.46,,,,,,,,,,,,,,,,,,,,,,,,
6063220,K00305.01,Kepler-99 b,CONFIRMED,1.51,,,,,,,,,,,,,,,,,,,,,,,,
6071903,K00306.01,Kepler-519 b,CONFIRMED,2.14,,,,,,,,,,,,,,,,,,,,,,,,
6289257,K00307.01,Kepler-520 b,CONFIRMED,1.78,,,,,,,,,,,,,,,,,,,,,,,,
10905239,K00046.01,Kepler-101 b,CONFIRMED,5.64,,,,,,,,,,,,,,,,,,,,,,,,
11623629,K00365.01,Kepler-538 b,CONFIRMED,2.16,,,,,,,,,,,,,,,,,,,,,,,,
3545478,K00366.01,,CANDIDATE,23.23,,,,,,,,,,,,,,,,,,,,,,,,
4815520,K00367.01,Kepler-1656 b,CONFIRMED,4.52,,,,,,,,,,,,,,,,,,,,,,,,
6603043,K00368.01,,FALSE POSITIVE,18.6,,,,,,,,,,,,,,,,,,,,,,,,
7175184,K00369.01,Kepler-144 b,CONFIRMED,1.59,,,,,,,,,,,,,,,,,,,,,,,,
7109851,K03012.01,,FALSE POSITIVE,1.69,,,,,,,,,,,,,,,,,,,,,,,,
11565544,K03013.01,,CANDIDATE,19.39,,,,,,,,,,,,,,,,,,,,,,,,
7347246,K03014.01,Kepler-1411 b,CONFIRMED,3.11,,,,,,,,,,,,,,,,,,,,,,,,
11403530,K03015.01,Kepler-1412 b,CONFIRMED,0.9,,,,,,,,,,,,,,,,,,,,,,,,
5088536,K00282.02,Kepler-130 b,CONFIRMED,1.02,,,,,,,,,,,,,,,,,,,,,,,,
12072872,K03017.01,,CANDIDATE,0.67,,,,,,,,,,,,,,,,,,,,,,,,
6609270,K03090.01,Kepler-1902 b,CONFIRMED,1.05,,,,,,,,,,,,,,,,,,,,,,,,
12406807,K03091.01,Kepler-1903 b,CONFIRMED,1.62,,,,,,,,,,,,,,,,,,,,,,,,
8046689,K03092.01,,FALSE POSITIVE,1.91,,,,,,,,,,,,,,,,,,,,,,,,
5096590,K03093.01,Kepler-1424 b,CONFIRMED,1.74,,,,,,,,,,,,,,,,,,,,,,,,
9650989,K03095.01,Kepler-1905 b,CONFIRMED,1.25,,,,,,,,,,,,,,,,,,,,,,,,
6289257,K00307.02,Kepler-520 c,CONFIRMED,1.18,,,,,,,,,,,,,,,,,,,,,,,,
6291837,K00308.01,Kepler-1715 b,CONFIRMED,3.72,,,,,,,,,,,,,,,,,,,,,,,,
7024222,K00309.01,,FALSE POSITIVE,0.53,,,,,,,,,,,,,,,,,,,,,,,,
7024511,K00311.01,,FALSE POSITIVE,3.33,,,,,,,,,,,,,,,,,,,,,,,,
7050989,K00312.01,Kepler-136 b,CONFIRMED,2.06,,,,,,,,,,,,,,,,,,,,,,,,
7175184,K00369.02,Kepler-144 c,CONFIRMED,1.59,,,,,,,,,,,,,,,,,,,,,,,,
8494142,K00370.01,Kepler-145 c,CONFIRMED,3.61,,,,,,,,,,,,,,,,,,,,,,,,
11554435,K00063.01,Kepler-63 b,CONFIRMED,5.73,,,,,,,,,,,,,,,,,,,,,,,,
8494142,K00370.02,Kepler-145 b,CONFIRMED,2.17,,,,,,,,,,,,,,,,,,,,,,,,
5652983,K00371.01,,FALSE POSITIVE,17.14,,,,,,,,,,,,,,,,,,,,,,,,
6471021,K00372.01,Kepler-539 b,CONFIRMED,10.02,,,,,,,,,,,,,,,,,,,,,,,,
7906671,K03018.01,,FALSE POSITIVE,2.78,,,,,,,,,,,,,,,,,,,,,,,,
8709688,K03019.01,Kepler-1893 b,CONFIRMED,1.52,,,,,,,,,,,,,,,,,,,,,,,,
8241079,K03020.01,,CANDIDATE,1.9,,,,,,,,,,,,,,,,,,,,,,,,
3348285,K03021.01,,FALSE POSITIVE,0.78,,,,,,,,,,,,,,,,,,,,,,,,
11618601,K03022.01,Kepler-1894 b,CONFIRMED,1.25,,,,,,,,,,,,,,,,,,,,,,,,
7582689,K03097.01,Kepler-431 d,CONFIRMED,0.87,,,,,,,,,,,,,,,,,,,,,,,,
7582689,K03097.02,Kepler-431 b,CONFIRMED,0.73,,,,,,,,,,,,,,,,,,,,,,,,
7582689,K03097.03,Kepler-431 c,CONFIRMED,0.72,,,,,,,,,,,,,,,,,,,,,,,,
9959589,K03098.01,,FALSE POSITIVE,19.88,,,,,,,,,,,,,,,,,,,,,,,,
9025922,K00043.01,,FALSE POSITIVE,8.02,,,,,,,,,,,,,,,,,,,,,,,,
6196457,K00285.02,Kepler-92 c,CONFIRMED,2.31,,,,,,,,,,,,,,,,,,,,,,,,
7050989,K00312.02,Kepler-136 c,CONFIRMED,1.94,,,,,,,,,,,,,,,,,,,,,,,,
7419318,K00313.01,Kepler-137 c,CONFIRMED,2.1,,,,,,,,,,,,,,,,,,,,,,,,
7419318,K00313.02,Kepler-137 b,CONFIRMED,1.5,,,,,,,,,,,,,,,,,,,,,,,,
7603200,K00314.01,Kepler-138 c,CONFIRMED,1.42,,,,,,,,,,,,,,,,,,,,,,,,
7603200,K00314.02,Kepler-138 d,CONFIRMED,1.24,,,,,,,,,,,,,,,,,,,,,,,,
10905239,K00046.02,Kepler-101 c,CONFIRMED,1.18,,,,,,,,,,,,,,,,,,,,,,,,
7364176,K00373.01,Kepler-1718 b,CONFIRMED,2.32,,,,,,,,,,,,,,,,,,,,,,,,
8686097,K00374.01,Kepler-540 b,CONFIRMED,2.85,,,,,,,,,,,,,,,,,,,,,,,,
12356617,K00375.01,Kepler-1704 b,CONFIRMED,10.81,,,,,,,,,,,,,,,,,,,,,,,,
12643589,K00376.01,,FALSE POSITIVE,121.48,,,,,,,,,,,,,,,,,,,,,,,,
12643589,K00376.02,,FALSE POSITIVE,2.99,,,,,,,,,,,,,,,,,,,,,,,,
3323887,K00377.01,Kepler-9 b,CONFIRMED,7.74,,,,,,,,,,,,,,,,,,,,,,,,
11618601,K03022.02,Kepler-1894 c,CONFIRMED,1.21,,,,,,,,,,,,,,,,,,,,,,,,
7732285,K03023.01,,FALSE POSITIVE,2.07,,,,,,,,,,,,,,,,,,,,,,,,
9716391,K03025.01,Kepler-1413 b,CONFIRMED,1.84,,,,,,,,,,,,,,,,,,,,,,,,
6929841,K03026.01,Kepler-1414 b,CONFIRMED,1.35,,,,,,,,,,,,,,,,,,,,,,,,
5088536,K00282.03,Kepler-130 d,CONFIRMED,1.85,,,,,,,,,,,,,,,,,,,,,,,,
5124254,K03099.01,,FALSE POSITIVE,1.45,,,,,,,,,,,,,,,,,,,,,,,,
11508644,K03101.01,Kepler-1426 b,CONFIRMED,1.73,,,,,,,,,,,,,,,,,,,,,,,,
12168993,K03105.01,,CANDIDATE,1.04,,,,,,,,,,,,,,,,,,,,,,,,
8895758,K03106.01,Kepler-1427 b,CONFIRMED,1.08,,,,,,,,,,,,,,,,,,,,,,,,
10031500,K03107.01,,FALSE POSITIVE,15.95,,,,,,,,,,,,,,,,,,,,,,,,
7603200,K00314.03,Kepler-138 b,CONFIRMED,0.59,,,,,,,,,,,,,,,,,,,,,,,,
7700622,K00315.01,Kepler-1716 b,CONFIRMED,2.03,,,,,,,,,,,,,,,,,,,,,,,,
8008067,K00316.01,Kepler-139 b,CONFIRMED,2.62,,,,,,,,,,,,,,,,,,,,,,,,
8008067,K00316.02,Kepler-139 c,CONFIRMED,2.63,,,,,,,,,,,,,,,,,,,,,,,,
8008067,K00316.03,Kepler-139 d,CONFIRMED,2.11,,,,,,,,,,,,,,,,,,,,,,,,
3323887,K00377.02,Kepler-9 c,CONFIRMED,7.98,,,,,,,,,,,,,,,,,,,,,,,,
7051180,K00064.01,,CANDIDATE,10.35,,,,,,,,,,,,,,,,,,,,,,,,
3323887,K00377.03,Kepler-9 d,CONFIRMED,1.48,,,,,,,,,,,,,,,,,,,,,,,,
2449074,K00378.01,,FALSE POSITIVE,32.92,,,,,,,,,,,,,,,,,,,,,,,,
2446113,K00379.01,,FALSE POSITIVE,2.78,,,,,,,,,,,,,,,,,,,,,,,,
2446113,K00379.02,,CANDIDATE,1.83,,,,,,,,,,,,,,,,,,,,,,,,
11137180,K03027.01,Kepler-1895 b,CONFIRMED,1.36,,,,,,,,,,,,,,,,,,,,,,,,
9838804,K03028.01,,FALSE POSITIVE,1.06,,,,,,,,,,,,,,,,,,,,,,,,
5903749,K03029.01,,CANDIDATE,2.24,,,,,,,,,,,,,,,,,,,,,,,,
5903749,K03029.02,,CANDIDATE,1.35,,,,,,,,,,,,,,,,,,,,,,,,
5524881,K03030.01,,FALSE POSITIVE,1.67,,,,,,,,,,,,,,,,,,,,,,,,
3756264,K03108.01,Kepler-1906 b,CONFIRMED,1.86,,,,,,,,,,,,,,,,,,,,,,,,
11572193,K03109.01,Kepler-1428 b,CONFIRMED,1.79,,,,,,,,,,,,,,,,,,,,,,,,
11285870,K03110.01,Kepler-1429 b,CONFIRMED,1.23,,,,,,,,,,,,,,,,,,,,,,,,
8581240,K03111.01,,CANDIDATE,0.92,,,,,,,,,,,,,,,,,,,,,,,,
8581240,K03111.02,,CANDIDATE,0.66,,,,,,,,,,,,,,,,,,,,,,,,
6196457,K00285.03,Kepler-92 d,CONFIRMED,1.91,,,,,,,,,,,,,,,,,,,,,,,,
8121310,K00317.01,Kepler-521 b,CONFIRMED,3.02,,,,,,,,,,,,,,,,,,,,,,,,
8156120,K00318.01,Kepler-522 b,CONFIRMED,8.56,,,,,,,,,,,,,,,,,,,,,,,,
8684730,K00319.01,,CANDIDATE,10.02,,,,,,,,,,,,,,,,,,,,,,,,
8700558,K00320.01,,FALSE POSITIVE,26.26,,,,,,,,,,,,,,,,,,,,,,,,
8753657,K00321.01,Kepler-406 b,CONFIRMED,1.41,,,,,,,,,,,,,,,,,,,,,,,,
8554498,K00005.01,,CANDIDATE,7.14,,,,,,,,,,,,,,,,,,,,,,,,
3847708,K00389.01,,FALSE POSITIVE,1.55,,,,,,,,,,,,,,,,,,,,,,,,
3849155,K00390.01,,FALSE POSITIVE,1.43,,,,,,,,,,,,,,,,,,,,,,,,
3858804,K00391.01,,FALSE POSITIVE,74.69,,,,,,,,,,,,,,,,,,,,,,,,
3942670,K00392.01,Kepler-147 c,CONFIRMED,2.98,,,,,,,,,,,,,,,,,,,,,,,,
3942670,K00392.02,Kepler-147 b,CONFIRMED,1.33,,,,,,,,,,,,,,,,,,,,,,,,
6949898,K03031.01,,CANDIDATE,1.19,,,,,,,,,,,,,,,,,,,,,,,,
10585738,K03032.01,Kepler-1415 b,CONFIRMED,1.31,,,,,,,,,,,,,,,,,,,,,,,,
7186665,K03033.01,,FALSE POSITIVE,1.21,,,,,,,,,,,,,,,,,,,,,,,,
2973386,K03034.01,,CANDIDATE,1.66,,,,,,,,,,,,,,,,,,,,,,,,
6388770,K03035.01,,FALSE POSITIVE,,,,,,,,,,,,,,,,,,,,,,,,,
7022573,K03112.01,,CANDIDATE,1.41,,,,,,,,,,,,,,,,,,,,,,,,
7676423,K03113.01,Kepler-1430 b,CONFIRMED,1.03,,,,,,,,,,,,,,,,,,,,,,,,
9288237,K03114.01,,CANDIDATE,1.01,,,,,,,,,,,,,,,,,,,,,,,,
11714231,K03115.01,Kepler-1431 b,CONFIRMED,1.45,,,,,,,,,,,,,,,,,,,,,,,,
11720424,K03116.01,Kepler-1432 b,CONFIRMED,1.91,,,,,,,,,,,,,,,,,,,,,,,,
7837302,K00048.01,,FALSE POSITIVE,59.31,,,,,,,,,,,,,,,,,,,,,,,,
8753657,K00321.02,Kepler-406 c,CONFIRMED,0.77,,,,,,,,,,,,,,,,,,,,,,,,
8948424,K00322.01,,FALSE POSITIVE,584.67,,,,,,,,,,,,,,,,,,,,,,,,
9139084,K00323.01,Kepler-523 b,CONFIRMED,1.92,,,,,,,,,,,,,,,,,,,,,,,,
9641041,K00324.01,,FALSE POSITIVE,1.96,,,,,,,,,,,,,,,,,,,,,,,,
9724984,K00325.01,,FALSE POSITIVE,7.84,,,,,,,,,,,,,,,,,,,,,,,,
2452450,K00380.01,,FALSE POSITIVE,4.83,,,,,,,,,,,,,,,,,,,,,,,,
3230578,K00381.01,,FALSE POSITIVE,9.57,,,,,,,,,,,,,,,,,,,,,,,,
3231137,K00382.01,,FALSE POSITIVE,23.78,,,,,,,,,,,,,,,,,,,,,,,,
3353050,K00384.01,Kepler-541 b,CONFIRMED,3.95,,,,,,,,,,,,,,,,,,,,,,,,
3446746,K00385.01,Kepler-542 b,CONFIRMED,1.59,,,,,,,,,,,,,,,,,,,,,,,,
5695396,K00283.01,Kepler-131 b,CONFIRMED,2.13,,,,,,,,,,,,,,,,,,,,,,,,
5217891,K03036.01,,FALSE POSITIVE,3.48,,,,,,,,,,,,,,,,,,,,,,,,
6593150,K03037.01,,CANDIDATE,1.23,,,,,,,,,,,,,,,,,,,,,,,,
8051946,K03038.01,Kepler-1416 b,CONFIRMED,1.44,,,,,,,,,,,,,,,,,,,,,,,,
5445681,K03039.01,Kepler-1417 b,CONFIRMED,1.01,,,,,,,,,,,,,,,,,,,,,,,,
6523351,K03117.01,,CANDIDATE,0.87,,,,,,,,,,,,,,,,,,,,,,,,
5551672,K03119.01,,CANDIDATE,0.94,,,,,,,,,,,,,,,,,,,,,,,,
11499192,K03120.01,Kepler-1433 b,CONFIRMED,1.43,,,,,,,,,,,,,,,,,,,,,,,,
12416661,K03122.01,Kepler-1434 b,CONFIRMED,1.28,,,,,,,,,,,,,,,,,,,,,,,,
8197793,K03123.01,,CANDIDATE,1.94,,,,,,,,,,,,,,,,,,,,,,,,
8258171,K00286.01,,FALSE POSITIVE,3.84,,,,,,,,,,,,,,,,,,,,,,,,
9880467,K00326.01,,FALSE POSITIVE,36,,,,,,,,,,,,,,,,,,,,,,,,
9880467,K00326.02,,FALSE POSITIVE,29.67,,,,,,,,,,,,,,,,,,,,,,,,
9881662,K00327.01,Kepler-140 b,CONFIRMED,1.38,,,,,,,,,,,,,,,,,,,,,,,,
9881662,K00327.02,Kepler-140 c,CONFIRMED,1.57,,,,,,,,,,,,,,,,,,,,,,,,
9895004,K00328.01,,FALSE POSITIVE,30.03,,,,,,,,,,,,,,,,,,,,,,,,
3656121,K00386.01,Kepler-146 b,CONFIRMED,3.56,,,,,,,,,,,,,,,,,,,,,,,,
10620329,K00066.01,,FALSE POSITIVE,83.25,,,,,,,,,,,,,,,,,,,,,,,,
3656121,K00386.02,Kepler-146 c,CONFIRMED,3.08,,,,,,,,,,,,,,,,,,,,,,,,
3733628,K00387.01,Kepler-543 b,CONFIRMED,2.46,,,,,,,,,,,,,,,,,,,,,,,,
3831053,K00388.01,Kepler-1719 b,CONFIRMED,3.26,,,,,,,,,,,,,,,,,,,,,,,,
6357290,K03040.01,,CANDIDATE,1.59,,,,,,,,,,,,,,,,,,,,,,,,
4072955,K03041.01,,CANDIDATE,1.15,,,,,,,,,,,,,,,,,,,,,,,,
8695311,K03042.01,,CANDIDATE,1.91,,,,,,,,,,,,,,,,,,,,,,,,
9834731,K03043.01,,CANDIDATE,1.07,,,,,,,,,,,,,,,,,,,,,,,,
5092266,K03045.01,Kepler-1896 b,CONFIRMED,2.56,,,,,,,,,,,,,,,,,,,,,,,,
4076976,K03124.01,,FALSE POSITIVE,0.48,,,,,,,,,,,,,,,,,,,,,,,,
8751796,K03125.01,Kepler-1435 b,CONFIRMED,0.9,,,,,,,,,,,,,,,,,,,,,,,,
7097534,K03126.01,,FALSE POSITIVE,0.84,,,,,,,,,,,,,,,,,,,,,,,,
9907129,K03127.01,Kepler-1436 b,CONFIRMED,2.07,,,,,,,,,,,,,,,,,,,,,,,,
7609674,K03128.01,,CANDIDATE,2.62,,,,,,,,,,,,,,,,,,,,,,,,
9527334,K00049.01,Kepler-461 b,CONFIRMED,2.74,,,,,,,,,,,,,,,,,,,,,,,,
10031885,K00329.01,,FALSE POSITIVE,20.8,,,,,,,,,,,,,,,,,,,,,,,,
11361646,K00330.01,Kepler-524 b,CONFIRMED,1.85,,,,,,,,,,,,,,,,,,,,,,,,
11361646,K00330.02,Kepler-524 c,CONFIRMED,0.83,,,,,,,,,,,,,,,,,,,,,,,,
10285631,K00331.01,Kepler-525 b,CONFIRMED,3.64,,,,,,,,,,,,,,,,,,,,,,,,
3964109,K00393.01,Kepler-544 b,CONFIRMED,2.09,,,,,,,,,,,,,,,,,,,,,,,,
4159347,K00394.01,,FALSE POSITIVE,74.76,,,,,,,,,,,,,,,,,,,,,,,,
3544595,K00069.01,Kepler-93 b,CONFIRMED,1.56,,,,,,,,,,,,,,,,,,,,,,,,
4165960,K00395.01,,FALSE POSITIVE,29.41,,,,,,,,,,,,,,,,,,,,,,,,
4252322,K00396.01,,CANDIDATE,36.85,,,,,,,,,,,,,,,,,,,,,,,,
4376644,K00397.01,,FALSE POSITIVE,14.41,,,,,,,,,,,,,,,,,,,,,,,,
9301506,K03047.01,,FALSE POSITIVE,1.14,,,,,,,,,,,,,,,,,,,,,,,,
5695396,K00283.02,Kepler-131 c,CONFIRMED,0.83,,,,,,,,,,,,,,,,,,,,,,,,
9714550,K03048.01,Kepler-1695 b,CONFIRMED,0.97,,,,,,,,,,,,,,,,,,,,,,,,
6263593,K03049.01,Kepler-1418 b,CONFIRMED,1.21,,,,,,,,,,,,,,,,,,,,,,,,
5475042,K03050.01,,CANDIDATE,1.02,,,,,,,,,,,,,,,,,,,,,,,,
6964159,K03129.01,,FALSE POSITIVE,1.61,,,,,,,,,,,,,,,,,,,,,,,,
10252275,K03130.01,Kepler-1907 c,CONFIRMED,2.9,,,,,,,,,,,,,,,,,,,,,,,,
10252275,K03130.02,Kepler-1907 b,CONFIRMED,1.05,,,,,,,,,,,,,,,,,,,,,,,,
11455181,K03131.01,Kepler-1437 b,CONFIRMED,1.21,,,,,,,,,,,,,,,,,,,,,,,,
9541295,K03132.01,,CANDIDATE,1.35,,,,,,,,,,,,,,,,,,,,,,,,
10290666,K00332.01,Kepler-526 b,CONFIRMED,1.91,,,,,,,,,,,,,,,,,,,,,,,,
10337258,K00333.01,Kepler-527 b,CONFIRMED,4.03,,,,,,,,,,,,,,,,,,,,,,,,
10383687,K00334.01,,FALSE POSITIVE,1.23,,,,,,,,,,,,,,,,,,,,,,,,
10470206,K00335.01,,FALSE POSITIVE,5.25,,,,,,,,,,,,,,,,,,,,,,,,
10518725,K00336.01,,FALSE POSITIVE,2.8,,,,,,,,,,,,,,,,,,,,,,,,
12314973,K00279.02,Kepler-450 c,CONFIRMED,2.59,,,,,,,,,,,,,,,,,,,,,,,,
5450893,K02970.01,Kepler-1890 b,CONFIRMED,1.08,,,,,,,,,,,,,,,,,,,,,,,,
4770174,K02971.01,,CANDIDATE,1.26,,,,,,,,,,,,,,,,,,,,,,,,
8949925,K02972.01,,CANDIDATE,1.98,,,,,,,,,,,,,,,,,,,,,,,,
5091016,K02973.01,,FALSE POSITIVE,1.66,,,,,,,,,,,,,,,,,,,,,,,,
9959492,K03051.01,,CANDIDATE,1.45,,,,,,,,,,,,,,,,,,,,,,,,
8827575,K03052.01,,CANDIDATE,0.78,,,,,,,,,,,,,,,,,,,,,,,,
8827575,K03052.02,Kepler-1992 b,CONFIRMED,0.91,,,,,,,,,,,,,,,,,,,,,,,,
2716801,K03053.01,Kepler-1419 b,CONFIRMED,2.45,,,,,,,,,,,,,,,,,,,,,,,,
7281454,K03055.01,,FALSE POSITIVE,0.08,,,,,,,,,,,,,,,,,,,,,,,,
7216284,K03056.01,Kepler-1420 b,CONFIRMED,1.24,,,,,,,,,,,,,,,,,,,,,,,,
8703887,K00287.01,,FALSE POSITIVE,20.88,,,,,,,,,,,,,,,,,,,,,,,,
9899352,K03135.01,,FALSE POSITIVE,24.29,,,,,,,,,,,,,,,,,,,,,,,,
6945786,K03136.01,Kepler-1909 b,CONFIRMED,0.93,,,,,,,,,,,,,,,,,,,,,,,,
5978170,K03140.01,Kepler-1910 b,CONFIRMED,0.99,,,,,,,,,,,,,,,,,,,,,,,,
5440317,K03141.01,Kepler-1438 b,CONFIRMED,1.24,,,,,,,,,,,,,,,,,,,,,,,,
10545066,K00337.01,Kepler-528 b,CONFIRMED,2.1,,,,,,,,,,,,,,,,,,,,,,,,
6056992,K00051.01,,FALSE POSITIVE,50.44,,,,,,,,,,,,,,,,,,,,,,,,
10552611,K00338.01,Kepler-141 c,CONFIRMED,1.5,,,,,,,,,,,,,,,,,,,,,,,,
10552611,K00338.02,Kepler-141 b,CONFIRMED,0.73,,,,,,,,,,,,,,,,,,,,,,,,
10587105,K00339.01,Kepler-529 b,CONFIRMED,2.1,,,,,,,,,,,,,,,,,,,,,,,,
10587105,K00339.02,Kepler-529 c,CONFIRMED,2.55,,,,,,,,,,,,,,,,,,,,,,,,
6948480,K02975.01,,FALSE POSITIVE,27.03,,,,,,,,,,,,,,,,,,,,,,,,
6438099,K02976.01,,CANDIDATE,1.94,,,,,,,,,,,,,,,,,,,,,,,,
11090556,K02977.01,Kepler-1398 b,CONFIRMED,1.02,,,,,,,,,,,,,,,,,,,,,,,,
11090556,K02977.02,Kepler-1398 c,CONFIRMED,1.13,,,,,,,,,,,,,,,,,,,,,,,,
10686814,K02978.01,,FALSE POSITIVE,1.03,,,,,,,,,,,,,,,,,,,,,,,,
3234843,K03057.01,Kepler-405 c,CONFIRMED,3.02,,,,,,,,,,,,,,,,,,,,,,,,
6021275,K00284.01,Kepler-132 d,CONFIRMED,1.93,,,,,,,,,,,,,,,,,,,,,,,,
3234843,K03057.02,Kepler-405 b,CONFIRMED,2.06,,,,,,,,,,,,,,,,,,,,,,,,
8192911,K03058.01,,FALSE POSITIVE,1.33,,,,,,,,,,,,,,,,,,,,,,,,
10554967,K03059.01,,FALSE POSITIVE,1.81,,,,,,,,,,,,,,,,,,,,,,,,
3752110,K03142.01,,CANDIDATE,2.21,,,,,,,,,,,,,,,,,,,,,,,,
5688790,K03144.01,Kepler-1439 b,CONFIRMED,1.59,,,,,,,,,,,,,,,,,,,,,,,,
1717722,K03145.01,Kepler-1977 b,CONFIRMED,1.66,,,,,,,,,,,,,,,,,,,,,,,,
1717722,K03145.02,,CANDIDATE,1.06,,,,,,,,,,,,,,,,,,,,,,,,
10908248,K03146.01,Kepler-1440 b,CONFIRMED,1.62,,,,,,,,,,,,,,,,,,,,,,,,
10616571,K00340.01,,FALSE POSITIVE,17.74,,,,,,,,,,,,,,,,,,,,,,,,
10878263,K00341.01,Kepler-414 c,CONFIRMED,2.73,,,,,,,,,,,,,,,,,,,,,,,,
10878263,K00341.02,Kepler-414 b,CONFIRMED,1.74,,,,,,,,,,,,,,,,,,,,,,,,
10982872,K00343.01,Kepler-142 c,CONFIRMED,2.75,,,,,,,,,,,,,,,,,,,,,,,,
10982872,K00343.02,Kepler-142 b,CONFIRMED,1.94,,,,,,,,,,,,,,,,,,,,,,,,
2720514,K02979.01,,FALSE POSITIVE,1.15,,,,,,,,,,,,,,,,,,,,,,,,
4141376,K00280.01,Kepler-1655 b,CONFIRMED,2.25,,,,,,,,,,,,,,,,,,,,,,,,
9468551,K02980.01,Kepler-1399 b,CONFIRMED,1.29,,,,,,,,,,,,,,,,,,,,,,,,
9076971,K02981.01,Kepler-1400 b,CONFIRMED,1.9,,,,,,,,,,,,,,,,,,,,,,,,
8360640,K02982.01,Kepler-1891 b,CONFIRMED,1.37,,,,,,,,,,,,,,,,,,,,,,,,
11019987,K03060.01,Kepler-1421 b,CONFIRMED,0.91,,,,,,,,,,,,,,,,,,,,,,,,
4857058,K03061.01,Kepler-1983 b,CONFIRMED,2.33,,,,,,,,,,,,,,,,,,,,,,,,
10924562,K03063.01,Kepler-1422 b,CONFIRMED,1.94,,,,,,,,,,,,,,,,,,,,,,,,
9899505,K03064.01,,FALSE POSITIVE,29.1,,,,,,,,,,,,,,,,,,,,,,,,
5040077,K03065.01,,CANDIDATE,1,,,,,,,,,,,,,,,,,,,,,,,,
7534267,K03147.01,Kepler-1441 b,CONFIRMED,2.51,,,,,,,,,,,,,,,,,,,,,,,,
9592705,K00288.01,Kepler-1714 b,CONFIRMED,3.04,,,,,,,,,,,,,,,,,,,,,,,,
10611420,K03148.01,,FALSE POSITIVE,1.83,,,,,,,,,,,,,,,,,,,,,,,,
10386922,K00289.01,Kepler-511 c,CONFIRMED,3.13,,,,,,,,,,,,,,,,,,,,,,,,
10386922,K00289.02,Kepler-511 b,CONFIRMED,7.56,,,,,,,,,,,,,,,,,,,,,,,,
10982872,K00343.03,Kepler-142 d,CONFIRMED,1.67,,,,,,,,,,,,,,,,,,,,,,,,
3558981,K00052.01,,FALSE POSITIVE,17.82,,,,,,,,,,,,,,,,,,,,,,,,
11015108,K00344.01,Kepler-530 b,CONFIRMED,2.87,,,,,,,,,,,,,,,,,,,,,,,,
11074541,K00345.01,Kepler-531 b,CONFIRMED,2.81,,,,,,,,,,,,,,,,,,,,,,,,
11100383,K00346.01,Kepler-532 b,CONFIRMED,2.62,,,,,,,,,,,,,,,,,,,,,,,,
7918652,K02984.01,,CANDIDATE,1.12,,,,,,,,,,,,,,,,,,,,,,,,
8847111,K02985.01,,FALSE POSITIVE,31.17,,,,,,,,,,,,,,,,,,,,,,,,
4568298,K02986.01,,FALSE POSITIVE,1.21,,,,,,,,,,,,,,,,,,,,,,,,
9230021,K03429.04,,CANDIDATE,1.85,,,,,,,,,,,,,,,,,,,,,,,,
4374339,K02987.01,,FALSE POSITIVE,2.32,,,,,,,,,,,,,,,,,,,,,,,,
6636320,K02989.01,Kepler-1892 b,CONFIRMED,1.31,,,,,,,,,,,,,,,,,,,,,,,,
4067925,K03066.01,Kepler-1897 b,CONFIRMED,2.1,,,,,,,,,,,,,,,,,,,,,,,,
4847782,K03067.01,,FALSE POSITIVE,16.63,,,,,,,,,,,,,,,,,,,,,,,,
