kepid,kepoi_name,kepler_name,koi_disposition,koi_prad,,,,,,,,,,,,,,,,,,,,,,,,
11818800,K00777.01,,CANDIDATE,7.51,,,,,,,,,,,,,,,,,,,,,,,,
11853255,K00778.01,Kepler-674 b,CONFIRMED,1.99,,,,,,,,,,,,,,,,,,,,,,,,
11909839,K00779.01,,FALSE POSITIVE,11.23,,,,,,,,,,,,,,,,,,,,,,,,
11918099,K00780.01,Kepler-675 b,CONFIRMED,2.34,,,,,,,,,,,,,,,,,,,,,,,,
11918099,K00780.02,,CANDIDATE,19.45,,,,,,,,,,,,,,,,,,,,,,,,
9579641,K00115.03,,CANDIDATE,0.55,,,,,,,,,,,,,,,,,,,,,,,,
11923270,K00781.01,Kepler-676 b,CONFIRMED,2.65,,,,,,,,,,,,,,,,,,,,,,,,
11960862,K00782.01,Kepler-677 b,CONFIRMED,5.31,,,,,,,,,,,,,,,,,,,,,,,,
12020329,K00783.01,Kepler-678 b,CONFIRMED,4.86,,,,,,,,,,,,,,,,,,,,,,,,
12066335,K00784.01,Kepler-231 c,CONFIRMED,1.93,,,,,,,,,,,,,,,,,,,,,,,,
12066335,K00784.02,Kepler-231 b,CONFIRMED,1.91,,,,,,,,,,,,,,,,,,,,,,,,
12070811,K00785.01,Kepler-679 b,CONFIRMED,2.66,,,,,,,,,,,,,,,,,,,,,,,,
8395660,K00116.02,Kepler-106 e,CONFIRMED,2.87,,,,,,,,,,,,,,,,,,,,,,,,
3120431,K00798.01,,FALSE POSITIVE,21.55,,,,,,,,,,,,,,,,,,,,,,,,
3246984,K00799.01,,FALSE POSITIVE,32.43,,,,,,,,,,,,,,,,,,,,,,,,
3342970,K00800.01,Kepler-234 b,CONFIRMED,3.12,,,,,,,,,,,,,,,,,,,,,,,,
3342970,K00800.02,Kepler-234 c,CONFIRMED,3.32,,,,,,,,,,,,,,,,,,,,,,,,
12459725,K00789.01,,FALSE POSITIVE,1.88,,,,,,,,,,,,,,,,,,,,,,,,
12470844,K00790.01,Kepler-233 b,CONFIRMED,2.59,,,,,,,,,,,,,,,,,,,,,,,,
12470844,K00790.02,Kepler-233 c,CONFIRMED,2.36,,,,,,,,,,,,,,,,,,,,,,,,
12644822,K00791.01,Kepler-682 b,CONFIRMED,7.4,,,,,,,,,,,,,,,,,,,,,,,,
2440757,K00792.01,,FALSE POSITIVE,46.58,,,,,,,,,,,,,,,,,,,,,,,,
2445129,K00793.01,,FALSE POSITIVE,28.59,,,,,,,,,,,,,,,,,,,,,,,,
2713049,K00794.01,Kepler-683 b,CONFIRMED,2.06,,,,,,,,,,,,,,,,,,,,,,,,
3114167,K00795.01,Kepler-684 b,CONFIRMED,2.77,,,,,,,,,,,,,,,,,,,,,,,,
3114661,K00796.01,,FALSE POSITIVE,27.51,,,,,,,,,,,,,,,,,,,,,,,,
3115833,K00797.01,,CANDIDATE,7.73,,,,,,,,,,,,,,,,,,,,,,,,
4139816,K00812.02,Kepler-235 d,CONFIRMED,1.96,,,,,,,,,,,,,,,,,,,,,,,,
4139816,K00812.03,Kepler-235 e,CONFIRMED,1.83,,,,,,,,,,,,,,,,,,,,,,,,
8395660,K00116.04,Kepler-106 d,CONFIRMED,1.31,,,,,,,,,,,,,,,,,,,,,,,,
4139816,K00812.04,Kepler-235 c,CONFIRMED,1.2,,,,,,,,,,,,,,,,,,,,,,,,
4275191,K00813.01,Kepler-688 b,CONFIRMED,7.34,,,,,,,,,,,,,,,,,,,,,,,,
4476123,K00814.01,Kepler-689 b,CONFIRMED,2.32,,,,,,,,,,,,,,,,,,,,,,,,
3351888,K00801.01,Kepler-685 b,CONFIRMED,9.73,,,,,,,,,,,,,,,,,,,,,,,,
3453214,K00802.01,,CANDIDATE,13.6,,,,,,,,,,,,,,,,,,,,,,,,
3554600,K00803.01,,FALSE POSITIVE,17.47,,,,,,,,,,,,,,,,,,,,,,,,
3641726,K00804.01,Kepler-1727 b,CONFIRMED,2.57,,,,,,,,,,,,,,,,,,,,,,,,
3734868,K00805.01,,FALSE POSITIVE,13.28,,,,,,,,,,,,,,,,,,,,,,,,
3832474,K00806.01,Kepler-30 d,CONFIRMED,8.9,,,,,,,,,,,,,,,,,,,,,,,,
